FUENTE;PARTIDO (según codificación INDEC);FECHA DEL HECHO;MES;HORA;DÍA DE LA SEMANA;DÍA DE LA SEMANA AGRUPADO;DIURNO / NOCTURNO;TIPO DE LUGAR;MODO DE PRODUCCIÓN DEL HECHO
Ministerio de Seguridad;588;22/1/2021;Enero;15:30;Viernes;Lunes a viernes;Diurno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;609;30/3/2021;Marzo;23:20;Martes;Lunes a viernes;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;588;31/3/2021;Marzo;04:30;Miércoles;Lunes a viernes;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;588;8/4/2021;Abril;07:00;Jueves;Lunes a viernes;Nocturno;Sin determinar;Sin determinar
Ministerio de Seguridad;609;26/4/2021;Abril;20:00;Lunes;Lunes a viernes;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;609;25/5/2021;Mayo;18:00;Martes;Lunes a viernes;Diurno;Calle;Sin determinar
Ministerio Público Fiscal;609;17/6/2021;Junio;16:57:00;Jueves;Lunes a viernes;Diurno;Calle;Colisión Vehículo  / objeto
Ministerio de Seguridad;609;23/8/2021;Agosto;21:00:00;Lunes;Lunes a Viernes;Nocturno;Calle;Sin determinar
Ministerio Público Fiscal;588;9/9/2021;Septiembre;19.10;Jueves;Lunes a viernes;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo
Ministerio de Seguridad;385;11/9/2021;Septiembre;05:00:00;Sábado;Sábados y domingos;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;588;18/9/2021;Septiembre;17:45:00;Sábado;Sábados y domingos;Diurno;Ruta Nacional;Colisión Vehículo  / objeto
Ministerio de Seguridad;399;18/9/2021;Septiembre;11:20:00;Sábado;Sábados y domingos;Diurno;Ruta Provincial;Sin determinar
Ministerio de Seguridad;007;20/9/2021;Septiembre;12:15:00;Lunes;Lunes a viernes;Diurno;Ruta Provincial;Vuelco / despistes
Ministerio de Seguridad;609;9/10/2021;Octubre;23:30:00;Sábado;Sábados y domingos;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;385;17/10/2021;Octubre;12:30:00;Domingo;Sábados y domingos;Diurno;Ruta Provincial;Colisión Vehículo / vehículo
Ministerio de Seguridad;406;22/10/2021;Octubre;11:00:00;Viernes;Lunes a viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;007;30/10/2021;Octubre;16:00:00;Sábado;Sábados y domingos;Diurno;Ruta Provincial;Vuelco / despistes
Ministerio Público Fiscal;609;6/11/2021;Noviembre;05:58:00;Sábado;Sábados y domingos;Nocturno;Calle;Otro modo
Ministerio Público Fiscal;231;20/11/2021;Noviembre;06:07:00;Sábado;Sábados y domingos;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo
Ministerio de Seguridad;609;23/11/2021;Noviembre;Sin determinar;Martes;Lunes a viernes;Sin determinar;Sin determinar;Colisión Vehículo / vehículo
Ministerio Público Fiscal;294;27/11/2021;Noviembre;05:45:00;Sábado;Sábados y domingos;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo
Ministerio de Seguridad;392;28/11/2021;Noviembre;07:30:00;Domingo;Sábados y domingos;Diurno;Calle;Sin determinar
Ministerio Público Fiscal;778;5/1/2021;Enero;16:35:00;Martes;Lunes a viernes;Diurno;Ruta Provincial;Colisión Vehículo  / objeto
Ministerio de Seguridad;778;19/2/2021;Febrero;22:00;Viernes;Lunes a viernes;Nocturno;Calle;Sin determinar
Ministerio de Seguridad;778;21/2/2021;Febrero;07:00;Domingo;Sábados y domingos;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;778;11/3/2021;Marzo;11:11;Jueves;Lunes a viernes;Diurno;Calle;Sin determinar
Ministerio de Seguridad;778;9/4/2021;Abril;16:45;Viernes;Lunes a viernes;Diurno;Calle;Sin determinar
Ministerio de Seguridad;778;16/4/2021;Abril;21:20;Viernes;Lunes a viernes;Nocturno;Calle;Colisión Vehículo  / objeto
Ministerio de Seguridad;778;16/5/2021;Mayo;04:10;Domingo;Sábados y domingos;Nocturno;Calle;Colisión Vehículo  / objeto
Ministerio Público Fiscal;778;20/11/2021;Noviembre;19.00;Sábado;Sábados y domingos;Diurno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;112;4/1/2021;Enero;11:30;Lunes;Lunes a viernes;Diurno;Ruta Provincial;Sin determinar
Ministerio de Seguridad;854;26/1/2021;Enero;19:00;Martes;Lunes a viernes;Diurno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;854;2/2/2021;Febrero;12:30;Martes;Lunes a viernes;Diurno;Calle;Colisión Vehículo / vehículo
