Fecha;Mes;Día de la Semana;Horario;Diurno/nocturno;Edad agrupada;Edad;Sexo;Tipo de víctima;Código de partido
27/6/2020;Junio;Sábado;21:00:00;Nocturno;0 - 4;4;Masculino;Sin determinar;28
27/6/2020;Junio;Sábado;12:30:00;Diurno;25 - 34;28;Masculino;Sin determinar;490
27/6/2020;Junio;Sábado;12:30:00;Diurno;25 - 34;32;Masculino;Sin determinar;490
27/6/2020;Junio;Sábado;20:55:00;Nocturno;15 - 24;24;Masculino;Sin determinar;490
28/6/2020;Junio;Domingo;18:45:00;Diurno;65 - 74;71;Masculino;Sin determinar;490
28/6/2020;Junio;Domingo;10:20:00;Diurno;15 - 24;24;Masculino;Sin determinar;28
28/6/2020;Junio;Domingo;06:30:00;Nocturno;25 - 34;33;Masculino;Sin determinar;28
29/6/2020;Junio;Lunes;09:40:00;Diurno;55 - 64;59;Masculino;Sin determinar;260
29/6/2020;Junio;Lunes;21:50:00;Nocturno;15 - 24;18;Masculino;Sin determinar;260
30/6/2020;Junio;Martes;18:35:00;Diurno;15 - 24;23;Masculino;Sin determinar;490
30/6/2020;Junio;Martes;16:35:00;Diurno;15 - 24;19;Masculino;Sin determinar;490
30/6/2020;Junio;Martes;14:30:00;Diurno;25 - 34;31;Masculino;Sin determinar;490
30/6/2020;Junio;Martes;08:00:00;Diurno;35 - 44;39;Femenino;Sin determinar;490
30/6/2020;Junio;Martes;19:40:00;Nocturno;35 - 44;40;Masculino;Sin determinar;490
29/6/2020;Junio;Lunes;09:30:00;Diurno;25 - 34;32;Femenino;Sin determinar;490
29/6/2020;Junio;Lunes;17:00:00;Diurno;Sin determinar;Sin determinar;Masculino;Sin determinar;490
30/6/2020;Junio;Martes;15:20:00;Diurno;45 - 54;47;Masculino;Sin determinar;260
30/6/2020;Junio;Martes;20:30:00;Nocturno;Sin determinar;Sin determinar;Masculino;Sin determinar;260
30/6/2020;Junio;Martes;12:50:00;Diurno;65 - 74;71;Masculino;Sin determinar;270
29/6/2020;Junio;Lunes;20:00:00;Nocturno;15 - 24;21;Masculino;Sin determinar;490
30/6/2020;Junio;Martes;20:40:00;Nocturno;25 - 34;32;Femenino;Sin determinar;28
16/10/2020;Octubre;Viernes;19:30:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;270
16/10/2020;Octubre;Viernes;11:50:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;260
16/10/2020;Octubre;Viernes;22:30:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;260
22/10/2020;Octubre;Jueves;20:00:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
22/10/2020;Octubre;Jueves;07:30:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
22/10/2020;Octubre;Jueves;20:10:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
22/10/2020;Octubre;Jueves;16:00:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
22/10/2020;Octubre;Jueves;06:30:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;260
22/10/2020;Octubre;Jueves;19:45:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
22/10/2020;Octubre;Jueves;16:00:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
22/10/2020;Octubre;Jueves;20:50:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
22/10/2020;Octubre;Jueves;00:00:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
22/10/2020;Octubre;Jueves;00:00:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
22/10/2020;Octubre;Jueves;22:00:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
22/10/2020;Octubre;Jueves;23:15:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
22/10/2020;Octubre;Jueves;03:50:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
22/10/2020;Octubre;Jueves;20:45:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;260
22/10/2020;Octubre;Jueves;04:05:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;270
22/10/2020;Octubre;Jueves;12:00:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
22/10/2020;Octubre;Jueves;18:00:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;260
22/10/2020;Octubre;Jueves;18:20:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;270
22/10/2020;Octubre;Jueves;23:00:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;260
22/10/2020;Octubre;Jueves;14:00:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
22/10/2020;Octubre;Jueves;13:38:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
22/10/2020;Octubre;Jueves;19:38:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
22/10/2020;Octubre;Jueves;07:00:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
22/10/2020;Octubre;Jueves;10:35:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
22/10/2020;Octubre;Jueves;19:02:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
22/10/2020;Octubre;Jueves;11:40:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
22/10/2020;Octubre;Jueves;20:40:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;28
22/10/2020;Octubre;Jueves;20:25:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
22/10/2020;Octubre;Jueves;22:22:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;270
22/10/2020;Octubre;Jueves;05:40:00;Nocturno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
23/10/2020;Octubre;Viernes;17:00:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
23/10/2020;Octubre;Viernes;11:40:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;490
