Origen de la base;Código de partido;Fecha del hecho;Mes;Hora del hecho;Diurno/Nocturno;Edad;Edad agrupada;Sexo
Ministerio de Seguridad;714;14/1/2018;Enero;23:30:00;Nocturno;18;15 a 24;Mujer
Ministerio de Seguridad;623;16/1/2018;Enero;00:50:00;Nocturno;33;25 a 34;Varón
Ministerio de Seguridad;623;16/1/2018;Enero;00:50:00;Nocturno;20;15 a 24;Mujer
Ministerio de Seguridad;623;25/1/2018;Enero;20:25:00;Nocturno;39;35 a 44;Mujer
Ministerio de Seguridad;623;14/2/2018;Febrero;21:25:00;Nocturno;30;25 a 34;Varón
Ministerio de Seguridad;686;25/2/2018;Febrero;18:45:00;Diurno;13;5 a 14;Mujer
Ministerio de Seguridad;175;1/3/2018;Marzo;19:00:00;Diurno;61;55 a 64;Varón
Ministerio de Seguridad;686;11/3/2018;Marzo;22:30:00;Nocturno;15;15 a 24;Varón
Ministerio de Seguridad;686;11/3/2018;Marzo;22:30:00;Nocturno;14;5 a 14;Varón
Ministerio de Seguridad;686;11/3/2018;Marzo;22:30:00;Nocturno;16;15 a 24;Varón
Ministerio de Seguridad;623;19/3/2018;Marzo;01:01:00;Nocturno;23;15 a 24;Mujer
Ministerio de Seguridad;175;25/3/2018;Marzo;13:40:00;Diurno;40;35 a 44;Mujer
Ministerio de Seguridad;623;21/3/2018;Marzo;21:15:00;Nocturno;31;25 a 34;Varón
Ministerio de Seguridad;623;1/4/2018;Abril;03:25:00;Nocturno;17;15 a 24;Mujer
Ministerio de Seguridad;623;1/4/2018;Abril;14:30:00;Diurno;34;25 a 34;Mujer
Ministerio de Seguridad;623;6/4/2018;Abril;21:30:00;Nocturno;Sin determinar;Sin determinar;Mujer
Ministerio de Seguridad;623;6/4/2018;Abril;21:30:00;Nocturno;26;25 a 34;Mujer
Ministerio de Seguridad;077;15/4/2018;Abril;07:30:00;Diurno;19;15 a 24;Mujer
Ministerio de Seguridad;623;19/4/2018;Abril;19:03:00;Nocturno;21;15 a 24;Mujer
Ministerio de Seguridad;175;22/4/2018;Abril;04:45:00;Nocturno;49;45 a 54;Mujer
Ministerio de Seguridad;714;20/4/2018;Abril;13:30:00;Diurno;29;25 a 34;Mujer
Ministerio de Seguridad;623;16/5/2018;Mayo;23:10:00;Nocturno;34;25 a 34;Mujer
Ministerio de Seguridad;623;18/5/2018;Mayo;16:07:00;Diurno;26;25 a 34;Varón
Ministerio de Seguridad;665;12/1/2018;Enero;16:00:00;Diurno;41;35 a 44;Varón
Ministerio de Seguridad;763;30/1/2018;Enero;21:44:00;Nocturno;7;5 a 14;Mujer
Ministerio de Seguridad;763;4/2/2018;Febrero;04:00:00;Nocturno;36;35 a 44;Varón
Ministerio de Seguridad;763;10/2/2018;Febrero;13:30:00;Diurno;19;15 a 24;Varón
Ministerio de Seguridad;665;16/2/2018;Febrero;03:45:00;Nocturno;42;35 a 44;Varón
Ministerio de Seguridad;763;18/2/2018;Febrero;14:30:00;Diurno;31;25 a 34;Varón
Ministerio de Seguridad;763;13/3/2018;Marzo;17:00:00;Diurno;57;55 a 64;Mujer
Ministerio de Seguridad;763;22/3/2018;Marzo;13:30:00;Diurno;28;25 a 34;Varón
Ministerio de Seguridad;665;1/6/2018;Junio;06:00:00;Nocturno;25;25 a 34;Varón
Ministerio de Seguridad;665;9/7/2018;Julio;19:30:00;Nocturno;56;55 a 64;Varón
Ministerio de Seguridad;763;14/7/2018;Julio;22:45:00;Nocturno;25;25 a 34;Varón
Ministerio de Seguridad;763;7/8/2018;Agosto;02:00:00;Nocturno;29;25 a 34;Mujer
Ministerio de Seguridad;763;22/8/2018;Agosto;13:30:00;Diurno;39;35 a 44;Varón
Ministerio de Seguridad;665;22/8/2018;Agosto;13:00:00;Diurno;29;25 a 34;Varón
Ministerio de Seguridad;665;27/8/2018;Agosto;18:00:00;Diurno;25;25 a 34;Mujer
Ministerio de Seguridad;665;30/8/2018;Agosto;16:30:00;Diurno;19;15 a 24;Varón
Ministerio de Seguridad;763;18/9/2018;Septiembre;22:00:00;Nocturno;21;15 a 24;Mujer
Ministerio de Seguridad;763;5/10/2018;Octubre;19:30:00;Nocturno;21;15 a 24;Varón
Ministerio de Seguridad;770;1/11/2018;Noviembre;06:00:00;Nocturno;30;25 a 34;Varón
Ministerio de Seguridad;770;8/11/2018;Noviembre;09:30:00;Diurno;25;25 a 34;Varón
Ministerio de Seguridad;763;22/11/2018;Noviembre;21:00:00;Nocturno;21;15 a 24;Varón
Ministerio de Seguridad;070;22/12/2018;Diciembre;15:15:00;Diurno;34;25 a 34;Varón
Ministerio de Seguridad;070;22/12/2018;Diciembre;15:15:00;Diurno;45;45 a 54;Varón
Ministerio de Seguridad;077;1/1/2018;Enero;12:50:00;Diurno;16;15 a 24;Mujer
Ministerio de Seguridad;714;1/1/2018;Enero;18:30:00;Diurno;27;25 a 34;Varón
Ministerio de Seguridad;077;15/1/2018;Enero;18:00:00;Diurno;55;55 a 64;Varón
Ministerio de Seguridad;175;19/1/2018;Enero;02:40:00;Nocturno;15;15 a 24;Mujer
Ministerio de Seguridad;175;19/1/2018;Enero;02:40:00;Nocturno;13;5 a 14;Mujer
Ministerio de Seguridad;623;30/1/2018;Enero;17:40:00;Diurno;52;45 a 54;Mujer
Ministerio de Seguridad;623;16/2/2018;Febrero;01:40:00;Nocturno;29;25 a 34;Mujer
Ministerio de Seguridad;623;20/2/2018;Febrero;00:15:00;Nocturno;44;35 a 44;Mujer
Ministerio de Seguridad;623;20/2/2018;Febrero;00:15:00;Nocturno;28;25 a 34;Varón
Ministerio de Seguridad;623;23/2/2018;Febrero;12:50:00;Diurno;23;15 a 24;Mujer
Ministerio de Seguridad;623;24/2/2018;Febrero;16:00:00;Diurno;39;35 a 44;Mujer
Ministerio de Seguridad;623;3/3/2018;Marzo;20:45:00;Nocturno;19;15 a 24;Varón
Ministerio de Seguridad;623;20/3/2018;Marzo;23:50:00;Nocturno;16;15 a 24;Varón
Ministerio de Seguridad;623;23/3/2018;Marzo;08:00:00;Diurno;21;15 a 24;Varón
Ministerio de Seguridad;623;24/3/2018;Marzo;10:05:00;Diurno;59;55 a 64;Mujer
Ministerio de Seguridad;623;24/3/2018;Marzo;10:05:00;Diurno;48;45 a 54;Varón
Ministerio de Seguridad;623;27/3/2018;Marzo;15:45:00;Diurno;50;45 a 54;Mujer
Ministerio de Seguridad;623;27/3/2018;Marzo;15:45:00;Diurno;70;65 a 74;Mujer
Ministerio de Seguridad;623;5/4/2018;Abril;13:24:00;Diurno;16;15 a 24;Varón
Ministerio de Seguridad;077;6/4/2018;Abril;23:55:00;Nocturno;72;65 a 74;Varón
Ministerio de Seguridad;714;17/4/2018;Abril;21:30:00;Nocturno;25;25 a 34;Varón
